"Trtmt","Sp","Rep","ID","Plate","Tray","Row","Col","Date.Sowed","H","Ex","C","DateEmerg","D2Emerg","Survival","HarvestD","No.Lvs","WetWt","A_WetWt","B_WetWt","PhotoIDNo.","PhotoIDLet","PhotoIDAdd","PhotoID"
"0","Basil","1","15","3","1","1","1",2016-11-18,"1","1","0",2016-11-21,3,"1","01-Dec-16",0,32.7,27.71,3.65,1,"",NA,"9322"
"100","Lettuce","1","6","3","1","1","2",2016-11-18,"0","1","0",2016-11-21,3,"1","01-Dec-16",2,102.42,69.06,3.59,3,"A",2,"9323, 9324"
"25","Lettuce","1","2","3","1","2","1",2016-11-18,"1","2","1",2016-11-19,1,"1","01-Dec-16",2,103.34,97.38,4.96,3,"B",NA,"9324"
"0","Lettuce","1","20","1","1","2","2",2016-11-18,"2","2","1",2016-11-20,2,"1","01-Dec-16",2,110.86,91.86,14.4,3,"C",NA,"9324"
"50","Lettuce","1","1","2","1","3","2",2016-11-18,"1","1","1",2016-11-20,2,"1","01-Dec-16",2,129.61,114.18,13.58,3,"D",NA,"9324"
"50","Basil","1","12","3","1","3","1",2016-11-18,"0","1","0",2016-11-21,3,"1","01-Dec-16",0,53.98,47.87,5.2,4,"A",NA,"9325"
"25","Basil","1","4","3","1","4","1",2016-11-18,"1","2","0",2016-11-22,4,"1","01-Dec-16",0,40.08,34.5,5.17,4,"B",NA,"9325"
"0","Basil","1","1","1","1","5","2",2016-11-18,"2","2","1",2016-11-23,5,"1","01-Dec-16",0,35.5,33.49,1.77,4,"C",NA,"9325"
"0","Lettuce","1","1","2","1","7","1",2016-11-18,"2","2","1",2016-11-21,3,"1","01-Dec-16",2,61.49,58.32,2.67,5,"A",NA,"9326"
"0","Basil","1","8","5","1","7","2",2016-11-18,"1","1","0",2016-11-25,7,"1","01-Dec-16",0,24.88,22.22,2.51,5,"B",NA,"9326"
"0","Basil","1","20","2","1","9","1",2016-11-18,"1","2","1",2016-11-21,3,"1","01-Dec-16",0,58.82,52.1,5.24,5,"C",NA,"9326"
"100","Lettuce","1","3","4","1","10","2",2016-11-18,"0","1","0",2016-11-20,2,"1","01-Dec-16",2,64.01,62.44,1.24,5,"D",NA,"9326"
"25","Lettuce","1","1","3","1","1","4",2016-11-18,"1","2","1",2016-11-20,2,"1","01-Dec-16",2,95.96,92.56,3.03,6,"A",NA,"9327"
"50","Basil","1","11","3","1","2","3",2016-11-18,"0","1","0",2016-11-21,3,"1","01-Dec-16",0,57.06,55.54,1.42,6,"B",NA,"9327"
"25","Lettuce","1","8","2","1","2","4",2016-11-18,"1","2","1",2016-11-20,2,"1","01-Dec-16",2,81.47,80.5,0.75,6,"C",NA,"9327"
"50","Basil","1","13","3","1","3","3",2016-11-18,"0","1","0",2016-11-20,2,"1","01-Dec-16",0,78.15,63.88,10.45,7,"A",NA,"9328"
"50","Basil","1","2","2","1","3","4",2016-11-18,"0","1","0",2016-11-21,3,"1","01-Dec-16",0,54.09,45.14,7.92,7,"B",NA,"9328"
"100","Lettuce","1","2","4","1","4","3",2016-11-18,"0","1","0",2016-11-22,4,"1","01-Dec-16",0,16.71,14.51,1.75,7,"C",NA,"9328"
"25","Basil","1","6","2","1","4","4",2016-11-18,"0","2","0",2016-11-21,3,"1","01-Dec-16",0,55.19,47.61,6.24,7,"D",NA,"9328"
"25","Basil","1","2","3","1","5","3",2016-11-18,"1","2","0",2016-11-21,3,"1","01-Dec-16",0,55.79,49.99,4.66,8,"A",NA,"9329"
"100","Lettuce","1","10","1","1","5","4",2016-11-18,"0","1","1",2016-11-21,3,"1","01-Dec-16",0,10.67,10.48,0.19,8,"B",NA,"9329"
"25","Lettuce","1","17","4","1","6","3",2016-11-18,"1","2","1",2016-11-19,1,"1","01-Dec-16",2,100.28,96.99,2.61,8,"C",NA,"9329"
"0","Basil","1","12","4","1","6","4",2016-11-18,"1","2","0",2016-11-22,4,"1","01-Dec-16",0,32.07,28.64,2.74,8,"D",NA,"9329"
"100","Lettuce","1","19","5","1","7","3",2016-11-18,"0","1","0",2016-11-22,4,"1","01-Dec-16",2,48.11,47,0.85,9,"A",NA,"9330"
"50","Lettuce","1","14","4","1","7","4",2016-11-18,"1","1","0",2016-11-24,6,"1","01-Dec-16",0,14.54,12.76,1.09,9,"B",NA,"9330"
"0","Lettuce","1","9","3","1","8","3",2016-11-18,"2","2","1",2016-11-20,2,"1","01-Dec-16",2,110.41,105.06,4.37,9,"C",NA,"9330"
"100","Lettuce","1","17","5","1","8","4",2016-11-18,"0","1","0",2016-11-22,4,"1","01-Dec-16",1,54.79,52.21,2.01,9,"D",NA,"9330"
"50","Lettuce","1","5","5","1","9","3",2016-11-18,"1","1","1",2016-11-19,1,"1","01-Dec-16",2,71.57,68.06,NA,10,"A",NA,"9331"
"50","Lettuce","1","3","2","1","9","4",2016-11-18,"1","1","1",2016-11-21,3,"1","01-Dec-16",1,46.34,44.1,1.76,10,"B",NA,"9331"
"50","Basil","1","14","3","1","10","4",2016-11-18,"0","1","0",2016-11-21,3,"1","01-Dec-16",0,49.87,44.22,4.83,10,"C",NA,"9331"
"25","Lettuce","1","6","2","1","4","2",2016-11-18,"1","2","1",2016-11-19,1,"1","01-Dec-16",2,115.46,110.95,3.47,NA,"",NA,""
"100","Lettuce","1","15","2","1","6","2",2016-11-18,"0","1","0",2016-11-21,3,"1","01-Dec-16",2,101.66,98.39,2.35,NA,"",NA,""
"0","Lettuce","1","16","4","2","1","1",2016-11-18,"2","2","1",2016-11-20,2,"1","02-Dec-16",2,110.04,105.28,4.14,1,"A",NA,"9337"
"25","Basil","1","11","1","2","1","2",2016-11-18,"0","1","0",2016-11-20,2,"1","02-Dec-16",2,47.51,41.79,5.51,1,"B",NA,"9337"
"25","Lettuce","1","4","3","2","2","1",2016-11-18,"1","2","1",2016-11-19,1,"1","02-Dec-16",2,95.1,92.61,2.14,1,"C",NA,"9337"
"50","Basil","1","5","5","2","3","1",2016-11-18,"0","1","1",2016-11-20,2,"1","02-Dec-16",2,187.63,183.29,3.13,2,"A",NA,"9338"
"25","Lettuce","1","12","1","2","4","1",2016-11-18,"1","2","1",2016-11-20,2,"1","02-Dec-16",2,87.99,85.15,2.64,2,"B",NA,"9338"
"25","Basil","1","7","2","2","4","2",2016-11-18,"1","2","0",2016-11-21,3,"1","02-Dec-16",0,39.69,36.67,2.73,2,"C",NA,"9338"
"0","Basil","1","3","1","2","5","1",2016-11-18,"2","2","0",2016-11-25,7,"1","02-Dec-16",0,34.14,31.48,2.21,3,"A",NA,"9339"
"0","Lettuce","1","7","5","2","5","2",2016-11-18,"1","2","1",2016-11-20,2,"1","02-Dec-16",2,64.9,62.53,1.92,3,"B",NA,"9339"
"0","Lettuce","1","12","3","2","6","1",2016-11-18,"2","2","1",2016-11-19,1,"1","02-Dec-16",3,152.88,146.62,5.18,3,"C",NA,"9339"
"25","Basil","1","13","5","2","6","2",2016-11-18,"1","2","1",2016-11-21,3,"1","02-Dec-16",2,42.63,38.39,3.63,3,"D",NA,"9339"
"50","Lettuce","1","11","4","2","7","1",2016-11-18,"1","1","0",2016-11-20,2,"1","02-Dec-16",2,60.85,59.3,0.7,4,"A",NA,"9340"
"50","Lettuce","1","17","3","2","8","1",2016-11-18,"1","1","0",2016-11-20,2,"1","02-Dec-16",2,109.19,102.98,5.45,4,"B",NA,"9340"
"0","Lettuce","1","17","1","2","9","1",2016-11-18,"2","2","1",2016-11-19,1,"1","02-Dec-16",2,76.78,73.5,2.93,5,"A",NA,"9341"
"25","Lettuce","1","19","4","2","9","2",2016-11-18,"1","2","1",2016-11-20,2,"1","02-Dec-16",2,63.13,60.92,1.98,5,"B",NA,"9341"
"50","Basil","1","9","5","2","10","1",2016-11-18,"0","1","0",2016-11-21,3,"1","02-Dec-16",0,39.05,34.69,4.22,5,"C",NA,"9341"
"0","Basil","1","6","5","2","10","2",2016-11-18,"1","1","0",2016-11-21,3,"1","02-Dec-16",0,31.89,28.4,3.22,5,"D",NA,"9341"
"25","Basil","1","15","5","2","1","3",2016-11-18,"1","2","1",2016-11-19,1,"1","02-Dec-16",2,63.27,56.31,6.26,6,"A",NA,"9342"
"50","Basil","1","7","5","2","1","4",2016-11-18,"0","1","0",2016-11-21,3,"1","02-Dec-16",2,64.27,59.95,3.84,6,"B",NA,"9342"
"0","Basil","1","11","4","2","2","3",2016-11-18,"1","2","1",2016-11-21,3,"1","02-Dec-16",0,26.93,24.01,2.7,6,"C",NA,"9342"
"0","Lettuce","1","18","1","2","2","4",2016-11-18,"2","2","1",2016-11-20,2,"1","02-Dec-16",2,74.77,72.36,2.08,6,"D",NA,"9342"
"50","Lettuce","1","10","4","2","3","3",2016-11-18,"1","1","0",2016-11-20,2,"1","02-Dec-16",2,123.98,120.5,2.75,7,"A",NA,"9343"
"25","Basil","1","3","3","2","4","3",2016-11-18,"1","2","0",2016-11-21,3,"1","02-Dec-16",0,38.17,33.59,4.12,7,"B",NA,"9343"
"100","Lettuce","1","8","3","2","4","4",2016-11-18,"0","1","0",2016-11-21,3,"1","02-Dec-16",2,108.99,106.95,1.65,7,"C",NA,"9343"
"100","Lettuce","1","18","5","2","5","3",2016-11-18,"0","1","0",2016-11-21,3,"1","02-Dec-16",2,86.05,83.39,1.98,8,"A",NA,"9344"
"25","Lettuce","1","3","3","2","6","3",2016-11-18,"1","2","1",2016-11-19,1,"1","02-Dec-16",2,109.63,106.17,3,8,"B",NA,"9344"
"25","Lettuce","1","15","5","2","6","4",2016-11-18,"1","2","1",2016-11-21,3,"1","02-Dec-16",2,55.84,53.44,1.97,8,"C",NA,"9344"
"25","Basil","1","9","1","2","7","3",2016-11-18,"1","1","0",2016-11-21,3,"1","02-Dec-16",0,32.61,29.12,3.29,9,"A",NA,"9345"
"0","Lettuce","1","2","2","2","7","4",2016-11-18,"2","2","1",2016-11-19,1,"1","02-Dec-16",2,117.09,114.53,2.25,9,"B",NA,"9345"
"25","Basil","1","5","2","2","8","4",2016-11-18,"0","1","0",2016-11-21,3,"1","02-Dec-16",0,50.25,48.08,1.52,9,"C",NA,"9345"
"25","Lettuce","1","11","1","2","9","3",2016-11-18,"1","2","1",2016-11-21,3,"1","02-Dec-16",2,86.74,83.1,3.61,10,"A",NA,"9346"
"50","Basil","1","8","5","2","9","4",2016-11-18,"0","1","0",2016-11-21,3,"1","02-Dec-16",0,57.64,50.91,6.28,10,"B",NA,"9346"
"50","Basil","1","3","2","2","10","3",2016-11-18,"0","1","0",2016-11-21,3,"1","02-Dec-16",2,43.79,38.14,5.07,10,"C",NA,"9346"
"0","Lettuce","1","13","4","2","10","4",2016-11-18,"2","2","1",2016-11-20,2,"1","02-Dec-16",2,104.01,99.86,3.43,10,"D",NA,"9346"
"50","Lettuce","1","18","3","3","1","1",2016-11-18,"1","1","0",2016-11-19,1,"1","02-Dec-16",2,84.06,80.42,3.53,11,"A",NA,"9347"
"0","Lettuce","1","4","2","3","1","2",2016-11-18,"2","2","1",2016-11-20,2,"1","02-Dec-16",3,243.56,230.7,11.64,11,"B",NA,"9347"
"50","Lettuce","1","15","3","3","3","1",2016-11-18,"1","1","0",2016-11-20,2,"1","02-Dec-16",2,119.72,115.98,3.11,12,"A",NA,"9348"
"50","Lettuce","1","4","2","3","3","2",2016-11-18,"1","2","1",2016-11-20,2,"1","02-Dec-16",2,126.23,122.97,2.89,12,"B",NA,"9348"
"50","Lettuce","1","7","5","3","4","1",2016-11-18,"1","1","1",2016-11-19,1,"1","02-Dec-16",2,89.56,87.18,1.96,12,"C",NA,"9348"
"100","Lettuce","1","5","3","3","4","2",2016-11-18,"0","1","0",2016-11-21,3,"1","02-Dec-16",2,111.91,109.06,2.26,12,"D",NA,"9348"
"25","Basil","1","14","5","3","5","1",2016-11-18,"1","2","1",2016-11-20,2,"1","02-Dec-16",2,58.17,50.33,7.09,13,"A",NA,"9349"
"0","Basil","1","10","4","3","6","1",2016-11-18,"1","2","0",2016-11-22,4,"1","02-Dec-16",0,44.1,39.87,4.06,13,"B",NA,"9349"
"0","Basil","1","13","3","3","6","2",2016-11-18,"1","1","0",2016-11-21,3,"1","02-Dec-16",0,55.83,51.23,3.84,13,"C",NA,"9349"
"50","Basil","1","4","2","3","7","1",2016-11-18,"0","1","1",2016-11-21,3,"1","02-Dec-16",2,49.17,45.79,2.92,14,"A",NA,"9350"
"0","Basil","1","19","2","3","7","2",2016-11-18,"1","1","0",2016-11-21,3,"1","02-Dec-16",0,37.27,33.8,3.3,14,"B",NA,"9350"
"0","Lettuce","1","14","4","3","8","1",2016-11-18,"2","2","1",2016-11-19,1,"1","02-Dec-16",3,132.92,127.87,4.2,14,"C",NA,"9350"
"25","Basil","1","18","4","3","8","2",2016-11-18,"1","2","0",2016-11-22,4,"1","02-Dec-16",0,41.09,38.15,2.79,14,"C",NA,"9350"
"50","Lettuce","1","13","4","3","9","1",2016-11-18,"1","1","0",2016-11-21,3,"1","02-Dec-16",2,86.59,84.2,1.96,15,"A",NA,"9351"
"0","Lettuce","1","10","3","3","9","2",2016-11-18,"2","2","1",2016-11-19,1,"1","02-Dec-16",2,113.58,110.81,2.59,15,"B",NA,"9351"
"0","Basil","1","16","3","3","10","1",2016-11-18,"1","1","0",2016-11-21,3,"1","02-Dec-16",2,62.81,53.33,6.77,15,"C",NA,"9351"
"25","Basil","1","19","4","3","1","3",2016-11-18,"1","2","0",2016-11-21,3,"1","02-Dec-16",2,49.01,43.95,4.82,16,"A",NA,"9352"
"50","Lettuce","1","6","5","3","1","4",2016-11-18,"1","1","1",2016-11-20,2,"1","02-Dec-16",2,149.78,145.31,3.69,16,"B",NA,"9352"
"0","Lettuce","1","8","5","3","2","3",2016-11-18,"1","2","1",2016-11-19,1,"1","02-Dec-16",2,136.99,132.74,3.56,16,"C",NA,"9352"
"0","Lettuce","1","5","5","3","2","4",2016-11-18,"1","2","1",2016-11-20,2,"1","02-Dec-16",2,56.9,55.42,1.4,16,"D",NA,"9352"
"50","Lettuce","1","8","5","3","3","3",2016-11-18,"1","1","0",2016-11-21,3,"1","02-Dec-16",1,12.77,12.47,0.16,17,"A",NA,"9353"
"100","Lettuce","1","12","1","3","3","4",2016-11-18,"0","1","0",2016-11-22,4,"1","02-Dec-16",2,62.34,59.11,2.77,17,"B",NA,"9353"
"100","Lettuce","1","13","2","3","4","3",2016-11-18,"0","1","0",2016-11-21,3,"1","02-Dec-16",2,82.77,79.33,1.75,17,"C",NA,"9353"
"25","Basil","1","12","1","3","4","4",2016-11-18,"0","1","0",2016-11-21,3,"1","02-Dec-16",0,49.8,46.54,2.95,17,"D",NA,"9353"
"0","Basil","1","7","5","3","5","3",2016-11-18,"1","1","0",2016-11-21,3,"1","02-Dec-16",0,40.01,36.44,2.96,18,"A",NA,"9354"
"50","Basil","1","15","2","3","5","4",2016-11-21,"0","1","0",2016-11-28,7,"1","02-Dec-16",0,11.59,7.95,3.14,18,"B",NA,"9354"
"25","Basil","1","16","5","3","6","3",2016-11-18,"0","2","0",2016-11-21,3,"1","02-Dec-16",0,42.15,39.31,2.56,18,"C",NA,"9354"
"0","Basil","1","4","1","3","6","4",2016-11-18,"2","2","0",2016-11-22,4,"1","02-Dec-16",0,13.41,12.23,1.16,18,"D",NA,"9354"
"50","Lettuce","1","9","5","3","7","3",2016-11-18,"1","1","0",2016-11-19,1,"1","02-Dec-16",2,23.58,21.57,1.75,19,"A",NA,"9355"
"0","Lettuce","1","11","3","3","7","4",2016-11-18,"2","2","1",2016-11-21,3,"1","02-Dec-16",2,92.51,88.82,3.39,19,"B",NA,"9355"
"50","Lettuce","1","12","4","3","8","3",2016-11-18,"1","1","0",2016-11-22,4,"1","02-Dec-16",2,50,48.11,1.94,19,"C",NA,"9355"
"0","Lettuce","1","6","5","3","8","4",2016-11-18,"1","2","1",2016-11-19,1,"1","02-Dec-16",2,71.26,68.66,2.65,19,"D",NA,"9355"
"25","Lettuce","1","18","4","3","9","3",2016-11-18,"1","2","1",2016-11-20,2,"1","02-Dec-16",2,56.39,53.37,2.68,20,"A",NA,"9356"
"50","Basil","1","17","4","3","9","4",2016-11-21,"0","1","0",2016-11-25,4,"1","02-Dec-16",0,29.85,28.72,1.07,20,"B",NA,"9356"
"0","Basil","1","5","5","3","10","3",2016-11-18,"1","2","0",2016-11-21,3,"1","02-Dec-16",0,30.69,26.96,3.71,20,"C",NA,"9356"
"50","Lettuce","1","16","3","3","10","4",2016-11-18,"1","1","0",2016-11-21,3,"1","02-Dec-16",2,53.61,52.09,1.43,20,"D",NA,"9356"
"0","Lettuce","1","15","4","4","1","1",2016-11-18,"2","2","1",2016-11-19,1,"1","05-Dec-16",3,424.48,404.01,18.96,1,"A",NA,"9362"
"25","Lettuce","1","13","5","4","1","2",2016-11-18,"1","2","1",2016-11-20,2,"1","05-Dec-16",3,336.81,325.43,9.57,1,"B",NA,"9362"
"100","Lettuce","1","9","1","4","2","1",2016-11-18,"0","1","0",2016-11-21,3,"1","05-Dec-16",3,207.07,196.75,8.36,1,"C",NA,"9362"
"0","Basil","1","9","4","4","2","2",2016-11-18,"1","2","1",2016-11-20,2,"1","05-Dec-16",2,131.85,112.83,14.19,1,"D",NA,"9362"
"25","Basil","1","17","4","4","3","1",2016-11-18,"1","2","0",2016-11-21,3,"1","05-Dec-16",2,91.49,80.91,9.24,2,"A",NA,"9363"
"0","Lettuce","1","19","1","4","4","1",2016-11-18,"2","2","1",2016-11-20,2,"1","05-Dec-16",3,397.28,382.77,10.33,2,"B",NA,"9363"
"25","Lettuce","1","9","1","4","4","2",2016-11-18,"1","2","1",2016-11-23,5,"1","05-Dec-16",2,49.69,47.78,1.3,2,"C",NA,"9363"
"100","Lettuce","1","1","4","4","5","1",2016-11-18,"0","1","0",2016-11-20,2,"1","05-Dec-16",3,319.58,308.09,9.75,3,"A",NA,"9364"
"0","Basil","1","17","2","4","5","2",2016-11-18,"1","2","1",2016-11-21,3,"1","05-Dec-16",2,101.64,91.72,8.78,3,"B",NA,"9364"
"100","Lettuce","1","7","3","4","6","1",2016-11-18,"0","1","0",2016-11-21,3,"1","05-Dec-16",3,272.28,262.4,8.26,3,"C",NA,"9364"
"0","Basil","1","14","3","4","6","2",2016-11-18,"1","1","0",2016-11-24,6,"1","05-Dec-16",0,45.24,42.22,2.74,3,"D",NA,"9364"
"25","Basil","1","1","3","4","7","1",2016-11-18,"1","2","0",2016-11-22,4,"1","05-Dec-16",0,61.21,53.46,6.74,4,"A",NA,"9365"
"50","Lettuce","1","19","3","4","7","2",2016-11-18,"1","1","0",2016-11-21,3,"1","05-Dec-16",3,211.25,202.06,7.73,4,"B",NA,"9365"
"50","Basil","1","20","4","4","8","1",2016-11-21,"0","1","0",2016-11-24,3,"1","05-Dec-16",0,60.88,55.95,4.37,4,"C",NA,"9365"
"25","Lettuce","1","7","2","4","8","2",2016-11-18,"1","2","1",2016-11-21,3,"1","05-Dec-16",3,182.7,174.32,7.21,4,"D",NA,"9365"
"50","Basil","1","10","3","4","9","1",2016-11-18,"0","1","0",2016-11-28,10,"1","05-Dec-16",0,9.6,9.57,0.09,5,"A",NA,"9366"
"100","Lettuce","1","14","2","4","9","2",2016-11-18,"0","1","0",2016-11-21,3,"1","05-Dec-16",2,197.94,191.44,5.28,5,"B",NA,"9366"
"100","Lettuce","1","16","2","4","10","1",2016-11-18,"0","1","0",2016-11-21,3,"1","05-Dec-16",3,261.63,253.37,6.65,5,"C",NA,"9366"
"50","Basil","1","6","5","4","10","2",2016-11-18,"0","1","0",2016-11-21,3,"1","05-Dec-16",2,83.62,79.04,4.2,5,"D",NA,"9366"
